SWB_1_1,SWB_2_1,PANAS_1,PANAS_2,PANAS_3,PANAS_4,PANAS_5,POS_1,POS_2,POS_3,POS_4,POS_5,Network_1,Network_2,Network_3,Network_4,Network_5,Network_6,Network_7,Network_8,Network_9,SEC_1,SEC_2,SEC_3,SEC_4,SEC_5,SEC_6,SEC_7,SEC_8,CIVIC_1,CIVIC_2,CIVIC_3
5,4,4,3,2,3,5,5,5,3,5,5,5,5,5,5,5,5,3,5,5,90,90,100,100,100,100,92,100,4,4,4
3,2,2,5,5,5,3,1,3,4,4,4,4,4,4,4,4,3,4,4,4,,,,,,,,,4,4,4
1,2,2,4,4,5,2,3,2,4,2,4,5,4,4,4,3,3,4,4,4,,,,,,,,,3,4,4
4,4,4,2,1,3,2,5,4,2,3,4,5,2,2,2,4,5,3,3,4,80,40,70,90,90,90,80,70,4,4,4
5,3,5,3,2,3,5,5,5,3,4,4,5,5,5,4,4,4,2,5,5,92,100,85,100,83,100,89,100,4,4,4
3,2,3,4,1,4,3,3,3,2,3,2,3,2,4,4,4,3,4,3,3,,,,,,,,,4,4,4
4,3,4,3,3,4,3,3,2,3,2,4,4,4,4,3,4,5,4,4,5,90,75,80,100,90,80,95,90,4,3,4
4,3,3,3,3,4,4,4,3,3,2,5,5,3,5,5,5,2,4,4,2,,,,,,,,,4,4,4
4,3,4,3,2,3,5,4,4,3,5,5,5,4,4,4,4,4,2,4,4,87,90,96,100,86,80,82,78,3,4,4
4,3,3,3,3,4,4,3,3,2,3,3,3,3,4,4,4,4,4,3,4,,,,,,,,,4,3,4
1,1,1,4,3,5,2,3,2,4,2,2,2,2,2,2,2,2,3,4,2,,,,,,,,,2,3,2
4,3,3,4,3,4,2,4,2,4,3,4,2,4,4,2,4,3,5,4,4,,,,,,,,,3,3,3
3,2,3,4,4,5,3,3,2,4,2,2,3,4,3,4,2,2,5,4,2,80,95,91,58,78,26,87,47,3,3,2
4,4,3,2,2,4,3,4,4,2,3,4,5,5,4,4,5,5,2,4,4,,,,,,,,,4,4,4
2,2,3,3,2,5,4,3,2,2,4,5,4,5,5,5,2,3,2,3,4,,,,,,,,,4,4,4
4,3,3,3,4,4,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,4,3,4
2,5,4,4,3,2,3,5,1,3,2,4,5,4,5,3,1,3,3,1,1,100,100,100,25,100,50,90,70,4,4,4
4,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4,4,2,3,3,,,,,,,,,2,2,2
4,3,4,3,1,4,5,4,2,4,4,4,4,4,2,2,3,5,4,5,5,81,76,82,91,96,67,93,78,3,3,3
4,3,4,3,2,4,4,4,4,2,3,4,4,4,3,2,4,4,2,4,5,84,71,75,60,86,69,91,68,4,4,4
2,3,3,3,3,4,3,3,3,2,2,2,2,2,2,2,3,4,4,2,3,,,,,,,,,3,3,3
4,3,4,3,2,5,3,4,3,4,2,3,4,4,5,4,4,2,2,3,3,,,,,,,,,3,4,3
5,4,4,2,2,4,4,4,3,2,4,5,5,4,5,3,3,4,1,4,4,80,69,86,55,79,97,50,90,3,4,4
2,1,2,4,5,5,5,4,2,4,1,1,2,4,3,4,4,5,5,1,3,90,100,96,50,82,64,100,100,4,4,4
4,2,4,2,1,3,4,5,4,1,4,4,3,4,4,3,5,5,1,4,5,90,77,69,87,90,65,88,75,4,4,4
4,4,4,3,2,3,4,4,4,2,5,5,3,2,3,2,3,4,4,4,4,95,66,79,64,58,84,79,100,3,3,3
4,3,3,4,4,4,3,3,2,2,3,4,4,4,4,2,4,4,4,4,4,,,,,,,,,4,4,3
4,3,4,3,3,3,4,4,2,4,3,4,4,4,4,4,3,4,2,4,4,81,92,82,38,65,68,75,53,3,3,3
