SWB_1_1,SWB_2_1,PANAS_1,PANAS_2,PANAS_3,PANAS_4,PANAS_5,POS_1,POS_2,POS_3,POS_4,POS_5,Network_1,Network_2,Network_3,Network_4,Network_5,Network_6,Network_7,Network_8,Network_9,SEC_1,SEC_2,SEC_3,SEC_4,SEC_5,SEC_6,SEC_7,SEC_8,CIVIC_1,CIVIC_2,CIVIC_3
4,3,3,3,3,4,3,4,3,4,3,4,5,5,5,5,4,4,4,4,4,59,60,72,63,61,72,71,50,3,3,4
4,4,4,3,1,3,4,4,4,2,4,4,4,5,4,4,4,4,2,4,4,,,,,,,,,4,4,4
1,2,3,3,3,5,2,3,2,3,2,3,2,2,2,2,2,1,5,2,2,80,75,90,30,80,69,70,85,3,3,3
5,4,4,3,2,4,4,5,4,4,5,5,5,5,5,5,4,5,4,4,4,85,94,95,99,100,90,95,97,4,4,4
4,2,3,3,3,5,3,4,3,2,4,4,4,4,4,4,4,4,3,4,5,90,85,85,65,100,95,85,75,4,4,3
5,4,3,3,2,4,4,4,2,2,4,4,5,4,4,4,4,4,2,4,4,82,64,94,92,88,89,87,87,3,3,3
1,4,4,3,1,3,4,4,3,3,4,4,4,5,5,4,4,4,3,4,4,90,70,90,50,67,73,90,33,3,2,3
1,3,4,2,2,3,3,4,3,3,3,4,4,3,3,4,4,4,1,3,4,80,80,80,100,80,100,80,100,4,3,3
3,2,2,3,3,4,2,4,3,1,2,3,5,5,4,3,4,2,3,3,3,100,90,100,38,100,100,88,93,4,4,4
4,3,4,3,2,3,4,5,4,3,4,4,5,5,5,4,4,4,3,2,3,90,85,85,50,75,60,90,80,3,3,3
4,2,3,3,3,3,3,3,3,3,3,4,5,4,4,4,5,5,3,4,4,82,71,91,85,89,87,72,67,3,3,4
3,3,3,3,3,3,2,4,4,2,3,4,4,4,4,3,3,4,3,4,4,78,68,74,50,60,74,76,62,3,3,3
3,3,2,3,4,4,1,4,2,2,4,5,5,4,3,2,4,2,2,3,2,92,92,92,100,100,100,100,100,3,2,4
5,3,4,2,2,4,4,5,4,2,4,4,4,4,3,3,4,5,2,5,5,64,82,92,70,93,79,69,63,4,3,4
4,4,4,3,3,4,3,4,3,4,4,4,5,5,4,4,4,4,4,5,4,68,64,95,87,73,58,91,82,4,4,4
4,3,3,3,3,3,5,2,2,2,5,5,4,5,5,5,4,4,4,4,4,100,100,100,100,100,100,100,100,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,78,82,85,76,33,60,43,29,3,3,3
2,2,3,4,3,5,3,5,3,2,4,4,4,3,4,4,4,5,4,4,3,,,,,,,,,3,4,3
4,3,3,4,4,5,4,3,2,3,3,3,2,4,4,3,2,2,5,2,2,41,58,52,33,59,90,47,47,4,4,4
5,5,4,3,3,5,4,5,5,2,4,4,5,5,5,4,2,3,4,2,1,86,74,90,100,66,72,88,92,4,3,4
4,3,3,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,3,4,4,77,71,72,66,100,78,67,85,4,3,4
3,4,2,4,4,3,3,5,4,1,2,4,4,4,4,2,5,5,4,4,4,90,90,90,80,90,90,90,80,4,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,3,4,4,5,4,5,2,3,3,5,5,4,3,3,4,5,2,4,5,90,80,100,100,80,70,80,50,4,4,4
4,4,4,2,2,5,3,2,2,1,3,3,5,2,3,1,4,4,2,4,4,,,,,,,,,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,4,3,3,3,5,4,3,2,4,5,5,4,4,4,4,5,2,5,5,85,88,100,100,100,100,90,75,4,4,4
4,2,3,3,2,4,3,4,3,3,4,3,5,5,4,4,4,5,4,4,4,61,44,71,35,56,71,76,80,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,3,5,5,5,5,4,3,3,1,2,5,4,4,2,2,3,5,4,3,94,75,88,100,95,46,100,93,4,4,4
3,2,4,2,1,4,3,3,2,2,2,2,5,2,3,2,3,2,2,2,2,85,85,85,55,85,60,85,75,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,4,2,2,3,4,4,4,1,4,4,5,3,2,3,4,5,1,5,5,61,61,93,56,74,73,49,39,3,3,3
4,4,4,3,3,3,5,4,2,1,4,4,5,5,5,5,5,5,4,4,4,50,50,75,100,75,75,75,75,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,4,2,1,3,4,5,4,2,5,5,5,3,2,2,5,5,1,5,5,100,100,100,100,100,100,100,90,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,4,4,3,5,5,2,3,2,5,5,5,3,4,4,4,5,1,5,5,78,70,94,73,87,84,99,80,4,4,4
4,3,3,3,3,4,2,5,3,2,3,4,5,3,3,3,4,4,3,4,4,70,60,80,50,80,70,80,50,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,4,3,4,55,70,74,45,64,67,27,42,3,3,3
4,4,4,2,1,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,100,100,100,80,100,100,100,100,4,4,4
3,2,2,4,4,4,4,1,3,3,2,2,1,4,5,3,3,5,5,1,2,50,52,52,29,32,71,34,34,4,4,4
4,4,4,3,2,4,4,5,4,3,4,4,5,5,5,4,5,5,2,5,5,,,,,,,,,4,4,4
4,3,3,4,4,4,3,5,3,2,4,4,5,3,4,4,4,4,3,2,2,50,70,70,60,60,40,50,70,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,4,2,2,3,3,3,3,3,3,4,5,5,3,3,5,5,3,5,5,80,80,80,60,80,80,80,70,3,3,3
5,5,4,2,1,4,5,5,5,3,5,5,5,4,4,2,5,5,3,5,5,100,100,100,100,100,100,100,88,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,100,100,100,100,100,100,,4,4,4
1,1,1,4,4,5,2,4,2,4,1,1,2,5,5,4,3,2,5,1,2,75,26,68,1,85,60,100,60,3,3,3
5,5,4,2,1,3,4,3,4,2,5,5,5,3,4,4,5,4,3,2,4,89,98,85,80,91,100,73,69,4,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,4,2,2,3,4,4,4,2,4,5,3,4,3,3,3,4,3,3,4,50,59,90,83,96,71,85,63,3,3,3
5,4,4,2,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,83,84,85,85,85,85,86,66,4,4,4
4,4,3,4,4,3,3,4,4,3,4,5,4,4,5,5,5,5,5,5,5,90,63,100,73,96,69,65,55,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,2,1,3,5,4,5,5,5,5,5,3,2,2,3,5,2,5,5,45,60,100,100,100,45,100,100,4,4,4
4,4,4,2,2,3,2,4,3,2,4,4,5,4,3,3,4,3,2,4,4,75,70,85,85,85,90,75,85,3,3,3
4,3,4,2,2,4,4,3,2,2,3,4,4,2,2,2,1,3,5,5,3,80,64,70,85,100,90,100,83,3,3,3
4,3,4,3,2,3,3,4,3,2,3,4,5,3,3,3,4,4,3,4,4,80,70,95,60,80,75,80,70,3,3,3
3,3,3,3,3,4,5,4,3,3,3,2,4,4,4,3,4,4,1,3,4,70,70,90,30,70,50,30,51,4,4,4
1,1,3,4,4,5,2,2,3,4,3,4,4,1,3,1,3,4,5,3,2,90,85,85,80,95,95,95,90,3,3,4
5,5,4,2,1,2,4,5,4,1,4,5,5,5,4,3,4,5,1,4,5,100,95,100,100,100,100,100,95,4,4,4
