Major,Year,Eth,X1st.gen,sex,format,EPICS,WB_1,WB_2,WB_3,H_1,H_2,H_3,PA_1,PA_2,PA_3,PA_4,PA_5,ACA,Big6_1,Big6_2,Big6_3,Big6_4,Big6_5,Big6_6,PSN,PSV,BRS_1,BRS_2,BRS_3,BRS_4,BRS_5,BRS_6,GRO_1,GRO_2,GRO_3,IMP_1,IMP_2,IMP_3,IMP_4,IMP_5,IMP_6,NET_1,NET_2,NET_3,NET_4,NET_5,NET_6,NET_7,NET_8,LSE_1,LSE_2,LSE_3,LSE_4,LSE_5,LSE_6,LSE_7,LSE_8,LSE_9,LSE_10,LSE_11,LSE_12,PER_1,PER_2,PER_3,OPP_1,OPP_2,OPP_3,OPP_4
5,2,"5,6",2,1,1,2,4,3,3,2,1,1,4,2,5,4,3,"2,4,6,9",3,3,3,3,3,3,3,2,3,4,3,3,3,4,4,4,4,4,3,3,2,2,4,4,3,3,2,3,3,4,4,62,80,70,55,94,90,93,58,85,86,77,48,3,3,3,3,3,5,5
11,1,,,2,1,2,4,2,2,3,3,2,3,2,3,4,3,,4,3,5,4,3,3,2,5,4,2,4,2,4,2,2,2,2,4,4,2,3,4,4,4,3,4,4,3,4,4,4,91,100,90,95,95,90,90,85,90,100,100,91,4,4,4,3,3,3,3
15,2,2,2,2,1,1,1,1,4,2,1,1,2,4,4,3,5,"3,4,6,8,9,11",4,3,3,4,2,2,3,5,2,2,2,2,2,2,4,2,2,2,2,3,1,1,2,4,4,4,4,4,4,4,4,,,,,,,,,,,,,3,3,3,3,2,3,3
4,3,2,1,1,1,2,3,4,4,3,2,3,4,2,5,3,4,"4,11",5,4,2,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,5,4,3,3,2,2,4,4,2,4,69,64,48,67,18,13,14,12,31,70,61,11,3,4,4,3,3,3,4
11,1,2,2,1,2,2,5,5,5,4,4,4,5,1,4,5,4,,5,5,5,1,1,5,6,6,5,1,5,1,5,1,1,1,1,5,3,3,5,5,5,5,5,5,5,5,5,1,5,99,99,99,99,99,99,99,99,99,99,99,99,4,4,4,4,4,4,4
1,,,2,1,1,2,2,3,3,3,3,3,3,3,5,1,4,,2,2,2,4,2,2,2,1,2,4,1,2,1,2,3,3,3,4,2,4,2,2,2,4,4,2,2,2,4,4,2,45,45,48,51,16,60,26,25,29,28,72,24,2,4,3,3,2,2,3
15,2,5,2,1,2,2,2,2,4,1,1,1,3,4,5,3,5,"3,4,6,11",4,4,3,2,2,4,2,1,2,5,2,4,2,4,3,3,3,2,2,3,4,1,4,2,3,3,3,4,4,4,4,30,32,25,30,30,30,20,23,20,30,30,23,3,3,3,3,3,3,3
8,5,5,2,2,1,2,1,1,3,3,2,1,3,5,4,3,4,"1,2,4,6,7,8,9,10,11",4,1,2,2,2,1,1,5,2,4,2,3,4,4,4,2,1,4,1,1,2,4,5,2,2,4,4,1,4,4,1,84,70,82,83,76,74,64,60,48,76,41,55,4,4,4,3,2,2,3
1,4,5,2,2,1,2,2,3,4,1,1,3,3,5,5,2,4,"3,4,6,11",4,3,4,4,5,2,2,4,1,4,1,4,2,4,3,3,2,4,2,3,1,2,4,4,4,3,3,3,4,5,4,30,30,25,35,40,40,20,35,20,20,20,20,3,3,3,3,3,3,3
15,3,2,2,1,2,2,3,2,4,2,2,2,3,3,4,3,4,"2,3,4,11",3,4,3,3,3,2,1,3,4,2,4,2,4,2,2,2,2,3,3,2,3,3,3,4,2,3,2,3,4,3,3,65,66,47,64,63,63,64,47,56,55,64,48,3,3,3,4,2,4,3
15,2,5,2,1,1,2,4,2,1,2,3,1,3,1,5,3,5,"4,6,11",4,4,2,4,4,3,3,4,4,2,4,2,4,2,2,2,2,4,2,4,4,4,4,4,4,4,3,4,4,4,4,89,93,91,92,91,91,93,91,93,92,91,14,3,3,3,2,2,3,3
12,1,5,1,2,2,2,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,2,4,4,5,4,4,4,2,4,4,5,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,96,90,100,92,92,90,94,92,86,90,97,95,3,4,4,3,4,5,5
1,2,5,2,1,1,2,1,3,4,1,1,2,3,5,5,4,4,"2,3,9",4,3,2,2,2,3,2,1,2,4,2,4,3,4,4,4,4,2,2,4,1,1,2,4,4,3,4,4,5,2,3,50,50,69,33,69,69,69,69,50,50,33,33,3,3,3,3,3,3,3
14,1,6,2,1,1,2,2,2,5,4,4,2,2,3,3,2,3,"3,11",2,1,1,4,1,1,3,5,3,2,4,2,3,2,1,1,1,3,1,3,4,4,4,4,4,4,2,2,3,4,1,100,64,100,100,100,100,100,100,100,100,100,100,4,3,3,4,2,2,2
5,3,5,2,2,1,2,2,3,3,1,2,1,2,3,5,2,5,"1,3,4,5,6,7",4,3,4,4,5,4,1,5,2,4,2,4,2,4,2,2,2,4,3,2,2,4,3,4,3,4,2,2,4,5,3,74,74,81,73,84,74,82,82,67,75,85,66,3,4,3,4,3,3,4
6,3,2,2,1,1,2,1,1,3,1,1,1,1,5,5,1,5,"1,2,3,4,6,7,9,10,11",4,2,1,1,3,1,5,4,1,5,1,5,1,4,1,1,1,1,1,3,1,1,1,4,1,1,1,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,1,1,1
2,3,2,2,1,1,2,3,3,4,4,1,3,3,4,5,3,5,"1,3,4,6,7,11",4,2,4,5,5,4,3,2,3,3,3,3,3,3,2,2,2,3,3,2,4,3,4,4,3,3,3,4,2,4,3,80,30,40,33,50,30,33,50,29,50,40,50,3,3,3,3,2,3,3
11,1,5,2,1,2,2,4,3,3,4,2,3,4,1,3,4,2,,3,3,3,1,1,1,6,5,3,2,2,3,3,3,4,4,4,4,4,1,4,5,4,5,3,3,3,3,4,2,4,97,81,98,78,80,96,71,93,84,81,72,85,3,3,3,3,3,5,5
4,3,5,2,2,1,2,5,4,5,3,3,3,4,1,3,5,2,6,5,5,5,5,5,5,5,5,5,2,5,1,4,1,2,2,2,4,4,1,4,5,3,5,4,4,4,5,5,1,5,91,84,98,86,92,90,88,93,89,93,82,90,4,4,4,4,3,4,4
4,2,5,2,2,1,2,1,2,4,2,1,1,2,4,5,2,5,"4,11",1,1,1,1,3,1,3,4,3,4,3,2,2,2,4,3,1,2,3,4,4,2,5,5,3,4,2,2,5,2,2,18,58,61,51,54,23,53,65,78,14,23,21,3,4,4,3,2,2,3
3,3,5,2,1,1,2,2,1,3,3,1,1,3,4,4,2,5,"1,3,4,6,9,10,11",4,3,3,5,1,1,6,4,3,1,3,2,4,2,5,4,4,2,2,4,4,3,3,2,3,5,4,4,3,5,3,50,50,50,50,50,50,50,50,50,50,50,50,3,3,4,3,1,3,2
18,4,2,2,2,1,2,3,1,3,3,1,3,3,3,4,3,5,"3,4",4,2,2,4,3,2,1,2,3,3,2,4,3,3,4,4,4,3,3,2,3,3,3,4,4,3,3,2,3,4,3,69,64,73,68,67,64,73,73,75,68,64,74,3,3,3,3,2,2,3
15,2,2,1,1,1,2,3,2,4,2,1,3,3,4,4,4,4,"3,4,7",2,3,2,4,3,2,2,3,2,4,1,4,2,4,1,1,1,4,3,3,2,2,4,4,3,4,3,3,4,4,3,80,90,80,80,70,70,65,65,65,60,75,60,3,3,3,3,3,3,3
11,1,5,2,2,1,1,3,4,2,2,1,1,3,3,5,4,5,"1,2,3,4,6,9,10",5,5,4,5,1,2,2,5,5,4,2,2,3,2,1,1,1,5,5,3,1,3,4,5,5,5,5,4,4,5,4,80,95,100,90,100,100,85,100,70,70,100,100,4,4,4,4,4,4,4
15,4,2,2,1,2,2,2,1,3,3,5,5,2,4,5,2,4,"3,10,11",3,3,2,4,4,4,1,3,3,4,4,3,3,3,4,5,3,1,2,4,1,3,2,3,1,2,1,2,3,5,1,58,52,41,58,68,37,30,39,30,33,52,33,3,4,4,3,3,3,3
11,1,5,2,2,1,2,4,4,4,4,3,3,4,3,4,4,4,,3,4,3,3,3,4,3,5,3,2,3,4,4,3,3,3,3,4,4,3,3,4,4,4,3,4,3,4,4,4,5,72,70,75,80,66,65,71,69,77,75,78,71,4,3,3,4,4,4,4
11,1,"2,5",2,2,1,1,4,4,5,4,5,3,4,1,3,5,2,"2,6",5,4,4,5,3,3,3,4,4,2,4,1,4,1,5,4,4,4,4,3,5,4,4,5,4,5,4,4,5,2,4,70,90,90,80,80,100,80,100,80,80,80,50,4,4,4,4,4,4,4
18,3,5,2,2,1,2,4,3,3,4,4,2,3,3,4,3,3,,4,3,4,4,4,4,3,4,4,2,4,2,3,2,3,2,2,4,4,3,4,4,4,4,3,4,3,3,4,4,4,75,60,80,75,80,75,90,90,80,75,90,50,3,3,3,4,3,3,4
11,1,5,1,1,1,1,3,2,3,3,3,2,3,3,3,3,3,"1,7,8",4,3,3,3,3,3,3,5,4,2,4,2,4,2,2,2,2,3,2,3,3,3,4,2,4,3,3,3,4,4,2,78,76,78,74,94,82,82,73,49,73,65,71,3,3,3,3,3,4,4
4,4,5,2,2,1,2,4,3,4,4,3,4,4,3,5,3,5,3,5,4,4,2,4,4,5,5,4,2,3,2,4,2,2,5,2,4,4,3,5,5,5,4,4,4,4,4,4,1,5,95,100,100,100,100,100,99,100,75,75,100,75,4,3,4,4,3,3,4
11,1,5,2,2,1,2,5,4,4,3,2,2,3,3,5,4,4,"2,4,6,7,11",3,2,4,1,3,4,2,4,4,4,3,4,3,3,1,1,1,5,3,2,3,4,4,4,4,4,5,4,3,4,5,100,90,92,90,100,70,100,80,86,84,70,79,4,4,4,3,3,4,5
5,2,5,1,2,1,2,3,1,4,4,2,2,3,4,5,3,5,"1,3,4,6,8,10",2,3,4,4,1,2,2,4,2,5,4,4,2,4,3,2,1,2,1,2,2,3,3,4,2,4,2,3,4,5,2,80,90,90,80,100,80,100,100,75,50,90,40,4,3,3,3,2,3,3
18,2,5,2,2,1,2,4,3,4,3,2,1,4,2,5,3,4,"3,4,6,8",2,4,4,4,3,4,3,4,4,4,3,2,3,3,4,4,3,4,3,2,4,5,4,4,4,4,2,3,3,3,4,48,24,40,39,100,48,94,35,38,14,40,39,4,4,3,4,3,4,4
6,4,5,2,1,1,2,2,1,2,1,1,1,2,4,5,2,4,"2,3,4,6,11",4,1,2,2,3,2,2,3,2,4,1,4,1,3,2,2,2,4,2,2,1,1,4,2,4,2,3,2,4,5,1,30,43,40,32,19,36,59,36,40,52,43,32,3,3,3,3,2,2,1
11,1,5,1,1,1,2,4,4,4,3,2,2,4,2,4,4,4,,4,4,4,2,1,3,1,5,5,1,4,1,4,1,4,3,2,5,3,5,4,4,5,4,3,4,3,4,5,3,4,100,100,88,97,92,94,81,87,89,92,87,82,4,4,4,4,4,2,2
12,5,5,2,2,1,2,2,1,1,1,2,1,1,5,5,3,5,"2,3,4,6,11",1,1,2,4,4,3,5,2,1,4,2,5,1,3,4,3,3,1,1,2,2,2,1,4,3,4,3,1,2,4,4,100,79,50,100,27,32,50,29,30,70,50,2,4,3,4,3,2,1,1
5,2,5,2,1,1,2,3,3,4,2,2,2,3,1,5,2,5,"4,6",4,3,2,4,4,2,1,2,3,4,3,3,2,3,2,2,2,4,3,2,4,4,4,4,3,2,2,4,4,3,3,50,55,55,55,60,65,75,60,40,40,45,45,3,3,3,3,2,3,3
4,3,5,2,1,1,2,2,1,2,4,1,1,2,3,5,1,5,"1,4,6",4,4,4,5,1,5,4,2,4,2,4,2,3,2,3,4,4,3,2,1,1,2,4,4,4,3,2,4,4,2,4,80,56,80,80,56,50,80,33,50,70,74,22,3,4,3,3,4,4,4
11,1,2,2,2,1,2,3,3,3,2,4,3,2,4,4,2,4,"3,8,10",4,4,4,2,3,3,2,5,2,3,3,4,4,4,1,1,1,4,3,3,2,2,4,4,4,4,4,4,4,4,3,80,75,53,86,71,71,64,64,27,72,70,8,4,3,3,3,3,4,4
12,2,5,1,1,1,2,4,5,5,4,2,3,3,2,4,4,4,"3,4,7,10",5,3,1,4,1,2,3,5,4,3,4,3,2,2,2,2,2,5,4,2,3,4,5,4,4,3,4,4,4,4,3,75,87,86,86,78,73,72,82,72,71,89,79,4,3,3,3,3,5,5
9,2,"2,5",2,2,1,2,2,1,1,1,2,1,3,3,5,2,4,"2,6,8,9,11",2,1,3,4,2,4,4,5,4,2,4,2,3,2,2,3,3,2,1,4,1,2,2,2,4,4,4,2,3,4,3,70,50,75,50,70,75,65,65,50,70,50,80,4,4,4,3,2,3,2
3,4,5,2,2,1,2,4,3,3,2,3,1,3,3,4,3,4,"3,6,7,8,10",4,3,3,2,4,5,5,4,4,3,3,2,3,2,4,4,4,4,2,2,4,4,2,5,3,3,2,3,4,3,4,67,52,54,81,92,51,95,70,40,85,80,90,4,3,2,3,2,4,4
18,3,5,2,2,1,1,1,1,4,3,2,2,2,5,5,3,4,"3,4,11",1,1,2,5,2,4,4,4,4,3,4,4,3,3,3,2,2,1,1,5,1,1,3,2,4,4,4,2,4,5,1,100,67,86,100,75,20,60,60,86,83,60,15,4,4,4,3,2,4,3
8,2,5,2,1,1,2,3,4,4,3,1,1,2,4,5,3,5,"1,4,6,11",1,3,1,1,1,3,3,3,2,4,2,3,2,4,3,1,2,3,2,3,3,2,4,4,2,3,2,3,4,3,3,,,,,,,,,,,,18,4,4,3,2,2,4,4
4,2,"2,5",2,1,2,2,4,3,3,4,4,4,3,3,4,4,5,8,4,2,4,5,4,4,3,4,4,2,5,1,4,2,1,1,1,2,3,4,5,5,4,3,3,3,3,2,4,4,4,70,87,72,80,75,76,81,80,70,50,69,50,4,4,4,4,3,3,3
15,3,5,2,1,1,2,4,2,3,2,1,2,2,2,4,3,3,,4,3,2,4,5,4,4,5,5,1,2,1,5,1,5,5,5,4,3,1,4,5,3,4,4,4,3,3,4,3,3,84,86,86,85,85,84,86,85,86,85,86,85,4,4,4,3,2,4,3
15,4,5,2,2,1,2,4,3,4,4,3,3,3,3,4,2,3,"2,3,4,6",5,3,1,3,4,5,5,5,5,2,3,3,4,4,3,3,2,4,3,2,4,4,5,4,3,2,2,4,5,3,4,91,92,71,77,93,85,78,60,63,70,49,47,4,3,3,4,3,4,4
11,1,5,2,1,1,2,2,1,2,4,2,4,3,5,5,3,5,"3,4",3,2,1,1,1,3,2,3,3,4,2,3,3,2,3,3,2,3,2,3,2,3,4,3,2,3,2,3,2,4,3,50,50,55,65,50,50,50,65,50,55,40,50,4,3,3,5,5,2,3
18,2,2,2,2,1,2,4,3,4,5,5,4,4,1,3,4,1,11,4,4,4,4,3,4,3,4,4,2,4,1,4,2,1,1,1,4,3,2,4,5,5,4,4,2,2,4,4,2,5,66,70,73,62,64,67,68,65,80,72,61,71,3,4,4,3,3,4,3
11,1,5,2,2,1,2,4,3,4,4,3,3,3,2,3,4,2,,4,3,4,2,2,5,2,4,4,2,4,2,4,2,1,1,1,4,5,3,4,4,5,4,3,4,4,3,4,3,4,90,70,90,90,60,50,80,70,60,80,60,60,4,2,2,4,3,4,4
11,1,5,1,1,1,2,3,4,4,5,1,4,2,4,5,2,5,"1,3,4,6",4,3,4,3,3,3,3,4,3,2,4,2,4,1,3,3,3,3,2,2,4,2,4,3,4,5,3,4,5,3,4,40,38,40,63,26,14,14,14,14,24,40,24,4,4,4,4,3,3,4
1,2,5,2,2,1,1,4,2,4,3,4,2,3,3,5,2,4,"3,7,10",5,4,5,5,3,4,3,5,3,2,3,2,4,2,3,3,3,4,3,1,4,4,5,5,3,4,4,4,4,4,4,85,85,76,86,80,76,90,90,95,85,95,80,3,4,3,4,3,4,3
11,1,5,2,2,1,1,2,3,2,3,1,2,3,4,5,3,5,"3,4,10",2,3,1,5,1,3,2,1,2,4,3,4,4,4,5,4,3,4,1,3,2,2,4,4,2,4,2,2,4,5,2,20,11,33,32,33,40,29,12,19,11,11,23,3,3,4,3,4,3,3
12,3,2,2,2,1,2,2,1,3,3,2,1,3,3,4,3,5,"3,4,7,8,9,10,11",4,1,4,4,4,4,2,2,2,4,1,5,2,4,4,4,4,2,3,3,3,4,4,5,4,4,4,2,5,3,3,52,71,48,66,65,69,50,57,60,45,62,65,3,4,3,3,2,2,3
15,2,5,2,1,1,2,4,2,1,3,5,3,4,2,3,4,3,"2,11",4,1,1,5,5,5,6,4,4,3,4,2,3,2,4,4,4,5,3,1,5,5,4,3,2,3,3,2,4,4,3,85,93,81,78,45,40,25,36,41,35,83,2,4,3,3,4,2,4,4
11,1,5,2,1,1,2,4,3,4,2,2,3,3,4,5,3,4,"2,3,4",4,4,4,5,3,3,3,5,4,3,4,2,4,2,1,1,1,4,4,2,3,4,5,3,3,4,3,4,3,3,3,88,52,60,61,51,57,67,55,45,55,59,79,3,4,3,3,4,3,3
12,4,6,2,1,1,2,3,2,4,4,2,4,3,3,3,3,3,4,4,3,2,5,5,5,2,3,4,2,4,2,2,2,5,5,5,2,1,4,2,4,4,4,2,4,2,4,4,4,4,74,79,79,76,42,50,85,64,72,70,78,40,4,4,4,4,3,4,4
11,1,5,2,2,1,2,4,4,4,4,3,4,4,3,5,4,4,"3,7,8,9",2,2,4,2,1,4,3,4,4,2,4,2,2,2,2,2,2,4,2,2,2,4,5,4,4,4,4,3,4,2,4,73,56,67,84,32,63,21,43,72,84,67,22,4,4,4,3,3,2,3
12,3,5,2,2,1,2,4,2,4,4,3,2,3,3,3,4,4,"3,4",4,3,2,4,3,4,3,5,4,2,4,2,4,2,3,2,2,2,2,4,1,4,4,3,4,5,4,4,4,3,2,90,87,85,95,99,96,95,85,90,90,88,80,4,4,4,2,2,2,3
15,4,5,2,1,1,2,4,3,3,1,1,1,2,2,5,3,5,"4,6",5,4,5,5,5,5,6,4,4,2,4,2,4,2,3,2,3,3,3,3,4,4,5,4,4,4,4,4,5,3,4,80,70,60,60,80,70,70,70,80,60,70,70,4,3,3,3,4,4,4
11,1,5,2,2,1,2,4,4,4,3,3,3,3,3,3,3,4,,4,4,4,2,1,5,3,4,4,4,3,2,3,3,1,1,1,5,3,2,3,4,4,3,4,5,4,4,4,4,5,84,57,42,70,92,56,88,69,70,44,40,74,4,3,4,4,3,4,4
18,2,"2,5",2,2,1,2,2,2,4,2,3,1,2,5,5,2,5,"1,3,8,11",4,2,4,2,1,4,3,4,2,4,2,4,2,3,3,3,3,3,2,3,1,2,2,4,3,4,2,3,4,4,3,69,80,70,74,74,74,43,65,34,46,41,42,4,3,3,4,3,3,3
15,2,5,2,2,1,2,4,3,4,3,2,2,3,2,4,3,3,"2,3,4",5,4,3,3,3,4,2,4,4,2,4,2,2,3,1,1,1,4,2,2,3,4,4,4,3,4,4,3,4,2,5,35,52,45,50,69,74,81,63,37,41,46,31,3,3,3,3,3,3,3
5,2,5,2,2,1,2,5,5,5,5,5,5,5,1,2,5,2,1,4,4,3,2,3,3,6,6,5,1,5,1,5,1,6,6,6,5,5,3,5,5,5,5,3,5,4,5,5,1,5,100,100,100,100,100,100,100,100,90,90,75,80,4,4,4,4,4,4,4
1,3,5,2,2,1,2,4,3,4,2,2,2,4,4,3,5,4,"4,6,7,9,10",4,2,2,4,4,4,2,5,4,2,4,2,4,2,3,4,4,4,4,2,3,4,4,3,5,4,4,2,4,4,4,48,70,70,79,73,89,91,87,65,75,45,24,3,3,3,3,3,3,3
7,3,5,2,2,1,2,4,4,4,3,2,2,4,3,4,3,4,"2,4,6,11",4,4,3,5,5,5,6,5,5,2,4,1,4,1,3,2,2,4,4,3,5,5,4,5,5,5,5,4,4,4,4,50,65,65,50,85,85,85,85,75,75,50,85,3,4,4,4,2,4,4
11,1,2,2,2,1,2,3,2,4,1,2,1,3,3,4,3,3,"2,3,6,8",1,1,2,1,1,1,6,4,4,2,3,3,3,3,3,3,3,2,2,2,2,4,4,4,2,2,2,2,4,4,2,37,30,30,30,40,33,34,39,26,28,32,35,3,3,3,3,3,2,2
12,4,5,2,2,1,2,4,2,4,4,3,3,3,3,3,4,4,"3,4,6,8,10,11",4,2,4,4,4,4,5,5,4,2,4,2,2,2,2,2,2,4,3,2,4,4,3,4,3,4,3,4,4,2,4,60,60,67,66,86,60,91,56,72,61,66,69,4,3,4,4,3,4,4
12,4,5,2,1,1,2,2,4,4,2,1,1,2,3,4,3,3,"1,3,4,5,6,10",4,2,2,5,5,3,3,4,3,3,4,2,2,1,4,1,1,3,3,4,4,4,3,4,2,2,3,3,4,4,3,90,90,80,90,71,60,70,60,95,85,96,80,4,3,3,3,5,3,3
3,3,5,2,2,1,2,3,3,3,3,3,2,3,5,4,2,5,"3,7",4,4,2,5,3,2,2,4,2,4,2,4,2,4,2,3,2,4,3,2,3,3,4,5,3,3,2,4,4,4,3,47,45,40,46,51,45,45,51,40,58,39,40,3,3,3,3,3,2,2
3,2,5,2,2,1,2,3,2,4,3,3,1,2,4,5,3,5,"1,3,6,10,11",4,3,4,5,4,4,3,4,3,4,2,4,2,4,3,3,3,5,4,2,4,3,4,4,4,4,3,4,2,4,4,80,70,83,74,78,71,63,74,82,85,75,73,3,4,3,4,3,4,4
1,4,5,2,2,1,2,5,2,3,4,2,2,4,1,5,3,4,"2,11",5,4,2,5,5,3,3,4,4,5,2,2,4,2,3,4,2,3,3,1,4,5,4,4,4,4,4,5,4,2,3,79,82,91,75,90,91,93,82,66,80,65,85,4,4,4,4,3,3,3
17,3,5,2,2,1,2,3,3,4,3,3,1,3,4,5,3,5,"3,6,7,11",4,3,4,4,1,3,4,2,2,4,3,3,3,2,4,2,2,4,2,4,3,3,4,4,3,3,3,3,4,4,4,71,60,69,75,65,66,66,66,63,58,66,60,3,3,3,3,3,3,2
8,3,5,2,1,1,2,2,1,5,3,4,2,3,2,5,1,3,3,5,4,4,5,5,4,4,5,4,4,4,2,2,2,5,5,5,5,3,4,2,3,4,4,3,3,2,4,5,4,4,50,75,65,60,95,90,95,85,75,80,90,60,3,4,4,3,2,2,4
11,1,5,2,1,1,2,2,4,4,2,5,3,2,4,4,3,4,"3,4,10",1,1,4,1,1,2,1,2,3,4,4,4,2,4,5,4,4,2,1,3,1,4,5,2,2,2,2,4,4,5,3,35,45,36,66,5,20,23,6,10,9,9,3,3,4,2,3,5,5,5
5,3,5,2,2,1,2,4,3,4,3,2,2,3,3,4,2,3,"4,6,8,10",4,4,2,4,4,5,4,5,2,3,2,4,3,4,4,3,3,3,2,3,2,3,4,4,4,4,4,3,4,4,4,80,66,66,50,79,86,70,70,58,80,61,65,3,3,3,2,2,3,3
11,1,5,2,1,1,2,3,4,3,2,2,2,3,4,5,3,4,"2,3,4,7,9,10",1,1,3,1,1,2,2,5,3,5,2,4,2,4,2,2,2,3,1,4,1,2,4,4,4,4,4,3,3,5,3,51,73,34,87,44,48,65,22,26,20,48,5,3,4,3,5,3,5,5
12,3,5,2,1,1,2,3,1,3,3,3,3,2,5,5,2,5,"3,4,7,10",2,1,1,5,5,1,3,5,3,3,3,2,3,3,2,2,2,3,3,5,1,3,2,5,3,3,2,3,3,4,1,70,20,80,40,60,80,60,70,0,50,50,30,3,4,3,3,2,2,2
4,1,"5,6",2,2,1,2,3,4,4,4,3,3,3,2,5,4,4,4,3,4,3,2,2,4,2,5,4,2,3,3,3,2,2,2,3,4,3,2,3,4,4,4,3,3,3,3,4,4,3,75,63,82,70,90,80,75,90,61,69,57,56,3,3,3,3,3,3,3
4,1,5,1,1,1,1,1,4,2,1,1,3,1,4,5,3,5,"3,4,7",4,4,2,5,2,2,3,1,4,5,2,2,4,4,4,4,3,2,1,5,1,2,3,2,4,4,3,4,4,5,2,50,50,40,50,75,75,75,80,50,50,80,67,3,4,3,3,3,2,2
18,3,5,2,2,1,2,4,2,2,1,1,1,2,3,5,2,4,"2,3,4,6,7,10,11",4,2,3,4,4,4,3,2,1,5,1,5,2,4,3,3,3,4,2,2,2,2,3,4,4,3,2,1,2,3,4,56,41,62,54,54,48,41,61,47,53,54,40,4,3,3,3,3,3,3
15,3,5,2,1,1,2,3,3,3,3,4,4,4,2,3,3,3,"2,3",4,1,1,4,1,2,3,5,4,2,3,2,5,2,3,3,3,3,2,5,2,5,3,5,2,4,2,1,4,1,2,50,45,80,50,80,90,90,40,70,20,40,55,4,4,3,2,1,3,2
11,1,5,2,1,1,1,5,2,4,4,4,3,4,3,4,3,2,"3,7,9,10",5,3,3,4,1,3,1,4,4,2,2,3,3,2,1,1,1,4,2,4,2,5,4,4,3,3,2,4,4,3,4,91,59,64,64,90,100,70,96,82,85,85,79,4,4,4,2,2,3,2
12,3,5,2,1,1,2,4,5,5,2,2,3,3,3,4,3,4,"3,4,9",4,5,4,4,2,2,2,3,2,4,2,3,2,4,1,1,1,4,4,2,3,4,4,5,3,2,4,4,4,4,4,81,68,81,76,83,93,69,80,78,86,90,73,3,4,3,4,3,4,4
11,1,"5,6",2,1,1,2,2,3,4,3,3,3,3,3,4,3,4,,4,2,4,1,1,1,2,3,4,5,2,2,4,4,2,1,1,4,3,2,2,3,4,4,4,3,2,4,4,4,4,,,,,,,,,,,,,3,3,3,5,5,5,5
11,1,5,2,1,1,2,2,2,4,2,4,4,3,4,5,3,5,"3,8,10,11",4,2,2,1,1,1,2,4,3,4,3,2,4,4,2,3,3,4,4,1,3,3,4,4,3,3,2,4,3,5,3,90,100,90,90,100,90,100,90,90,85,90,90,3,4,4,3,4,4,2
11,1,5,2,2,1,1,4,4,4,3,2,2,3,3,3,3,3,,3,4,3,4,3,3,2,5,3,3,3,3,2,2,2,2,2,4,4,2,3,4,4,3,4,4,3,4,4,3,4,76,72,76,82,68,71,68,68,66,71,72,69,4,4,4,4,3,3,3
17,2,5,2,1,1,2,4,3,4,3,4,4,4,4,4,3,4,,4,4,4,4,1,3,4,5,4,2,4,2,3,2,2,2,2,4,4,4,4,4,4,5,3,4,3,4,4,2,5,,,,,,,,,,,0,,3,3,3,4,3,4,4
11,1,"5,6",2,2,1,1,1,2,2,2,1,1,3,2,5,3,5,"6,11",2,3,3,4,2,2,,,,,,,,,,,,2,2,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,"2,6",1,2,1,2,2,2,4,3,3,2,3,4,4,3,3,"3,8,9",4,4,2,4,1,5,2,4,2,4,2,4,1,5,3,2,3,2,2,1,2,4,4,4,4,2,2,3,4,4,3,36,23,38,51,40,23,36,39,36,19,47,24,3,2,2,3,3,4,3
8,5,5,2,1,1,2,2,3,4,2,2,1,2,5,4,4,4,"1,3,4,6,9",4,4,3,4,2,3,3,2,3,3,3,3,3,3,3,3,3,4,2,3,1,1,4,4,4,4,4,3,4,5,4,43,52,17,49,57,33,64,41,37,27,19,36,4,3,3,3,3,2,3
8,4,5,2,3,1,2,4,4,4,4,4,2,3,2,4,3,4,6,5,4,5,3,5,3,6,3,4,2,3,3,4,2,1,1,1,5,3,3,4,3,5,4,4,3,3,4,3,3,4,86,62,63,71,72,77,72,71,75,89,90,73,3,3,3,4,4,4,3
14,3,5,2,1,1,2,2,2,4,2,1,2,3,4,5,1,5,3,4,2,2,4,1,1,4,5,3,3,1,4,2,4,2,2,2,4,3,4,1,1,2,2,3,2,2,3,4,3,3,40,40,40,50,35,50,20,40,0,60,70,0,3,3,2,2,2,2,2
15,2,2,2,1,1,2,3,2,4,4,3,2,2,2,4,3,3,2,4,4,2,2,1,3,,,,,,,,,,,,2,3,4,2,3,3,4,3,3,2,4,4,4,2,,,,,,,,,,,,,3,3,3,,,,
11,1,2,2,1,1,2,5,3,3,4,4,5,4,2,2,4,1,,4,4,2,2,3,2,4,4,4,1,4,2,5,2,1,1,1,5,4,1,4,4,4,4,4,4,2,5,4,2,4,90,80,96,85,100,100,90,92,80,78,100,60,4,4,4,3,3,5,5
