Major,Year,Eth,X1st.gen,sex,format,EPICS,WB_1,WB_2,WB_3,H_1,H_2,H_3,PA_1,PA_2,PA_3,PA_4,PA_5,ACA,Big6_1,Big6_2,Big6_3,Big6_4,Big6_5,Big6_6,PSN,PSV,BRS_1,BRS_2,BRS_3,BRS_4,BRS_5,BRS_6,GRO_1,GRO_2,GRO_3,IMP_1,IMP_2,IMP_3,IMP_4,IMP_5,IMP_6,NET_1,NET_2,NET_3,NET_4,NET_5,NET_6,NET_7,NET_8,LSE_1,LSE_2,LSE_3,LSE_4,LSE_5,LSE_6,LSE_7,LSE_8,LSE_9,LSE_10,LSE_11,LSE_12,PER_1,PER_2,PER_3,OPP_1,OPP_2,OPP_3,OPP_4
4,2,2,2,2,1,2,1,2,5,1,1,3,2,5,5,3,5,"2,3,4,9,10,11",5,5,5,5,1,5,6,6,5,5,1,1,2,5,1,1,1,2,5,5,2,5,5,1,5,5,5,5,2,5,1,100,74,51,50,27,50,54,51,9,74,51,40,4,4,4,3,1,4,3
11,1,5,2,2,1,2,2,1,2,3,2,2,3,4,5,3,5,"3,4,6,7,9",2,3,2,2,3,4,3,4,4,3,2,2,2,2,3,3,3,3,4,2,3,4,4,2,4,4,4,2,2,4,3,88,88,92,90,94,93,99,91,92,83,95,94,4,3,3,3,2,3,3
15,4,5,2,1,1,2,2,3,3,2,2,2,3,4,3,2,2,"1,2,3,4,5,11",4,4,4,4,5,2,4,5,2,5,2,4,3,4,4,4,5,4,3,2,1,4,4,3,4,2,4,4,2,2,4,43,69,41,33,55,35,57,38,71,87,23,18,3,4,3,2,2,3,3
1,4,5,2,1,1,2,1,4,4,2,3,2,2,3,5,3,5,"3,4",5,5,4,1,1,3,1,1,2,4,2,4,2,4,3,3,3,2,2,2,1,2,5,4,3,3,2,4,4,2,3,16,25,16,9,44,36,38,26,19,45,44,20,2,2,3,4,3,3,3
11,1,5,2,1,1,2,4,1,4,5,3,3,4,4,5,3,5,11,3,2,5,3,3,4,5,4,5,4,5,1,2,1,4,4,4,5,3,1,3,5,5,5,2,2,2,4,4,4,4,75,64,72,75,71,81,77,66,73,68,72,76,4,4,3,3,2,4,3
7,4,3,2,1,2,2,3,1,5,2,2,1,1,5,5,2,5,"1,2,3,4,6,11",4,3,5,2,5,5,4,3,5,2,4,3,5,2,3,4,4,3,1,4,4,4,2,4,4,4,4,3,2,5,2,92,100,100,100,76,56,100,55,54,100,53,30,4,4,4,3,2,3,3
11,1,5,2,1,1,2,3,4,4,2,2,1,3,3,4,3,3,"3,4,10",4,4,2,2,2,3,2,2,5,4,4,2,4,2,2,2,2,4,4,2,3,4,4,4,4,3,4,4,4,3,4,70,70,70,100,70,70,85,100,70,70,60,40,3,4,4,3,3,3,3
11,1,5,1,2,1,2,4,2,1,4,1,1,3,4,5,5,5,"1,2,3,4,6,7,10",2,3,5,4,5,5,6,6,3,2,4,2,4,2,5,5,4,5,2,5,5,5,2,4,5,4,5,4,4,4,2,89,100,100,70,27,21,50,79,74,62,100,4,4,4,4,3,2,3,3
15,3,5,2,1,1,2,1,1,3,1,1,2,2,4,5,2,5,"1,2,3,4,6,8,10,11",4,2,2,4,2,2,1,4,2,4,2,4,1,5,5,5,4,1,1,4,1,1,1,2,2,4,3,2,4,5,3,,,,,0,0,,,,,,0,4,4,3,3,2,2,1
1,3,5,2,1,1,2,2,3,4,1,2,1,2,4,4,2,4,3,2,3,2,4,1,2,1,1,2,4,1,4,2,4,5,5,5,2,3,2,2,2,4,4,2,3,1,4,5,4,3,25,50,40,100,51,74,24,50,50,77,75,50,3,4,2,3,2,2,2
17,2,5,2,1,1,2,5,3,4,2,3,5,2,3,5,4,5,,4,4,3,1,1,3,5,4,2,4,2,4,2,4,1,1,1,4,2,1,5,4,4,4,4,4,4,4,4,2,4,100,100,100,76,100,100,100,100,69,100,72,100,3,3,3,4,4,4,4
1,3,5,2,1,1,2,4,3,4,3,3,3,4,1,4,3,5,1,5,3,5,4,2,2,4,4,5,3,5,1,3,1,2,1,1,2,3,2,2,4,4,5,4,3,3,4,5,4,5,75,20,80,10,70,25,50,90,20,80,49,50,3,4,3,3,2,4,3
8,2,5,2,2,1,2,1,2,4,3,2,2,2,5,4,2,3,"3,8,9",4,2,1,4,1,4,2,2,2,5,2,4,2,4,3,3,3,2,1,3,1,1,1,2,1,2,1,3,2,4,2,8,8,6,8,47,26,50,9,6,3,20,22,3,3,2,3,3,3,3
12,2,5,2,2,1,2,4,2,2,3,4,3,3,4,4,4,5,"2,3,4,6,7,8,10,11",4,2,4,5,2,4,3,5,1,5,1,5,1,5,2,3,3,5,1,3,5,5,5,3,4,3,3,2,4,5,4,76,48,65,73,70,57,54,53,52,69,58,88,4,4,4,4,5,4,4
11,1,5,2,1,1,1,2,3,4,3,2,2,3,4,5,3,4,"1,2,3,4,6,7,9,10,11",4,3,3,4,3,2,4,3,2,4,2,4,2,4,2,2,2,2,2,4,1,1,3,2,4,4,2,4,4,4,2,72,61,49,55,51,72,36,67,46,50,60,52,4,4,3,3,3,3,3
11,1,2,1,2,1,2,4,2,4,2,2,1,3,4,5,3,5,"6,7,8,11",2,1,1,4,2,4,3,4,2,4,2,5,2,4,5,4,4,2,2,3,4,4,5,4,3,3,4,3,1,5,2,71,61,26,75,47,12,15,70,35,27,17,37,3,3,2,3,2,2,2
5,3,"2,5",2,2,1,2,3,4,3,1,1,1,3,4,5,3,5,"3,4,6,10",3,2,3,2,1,4,1,1,2,5,2,5,2,4,5,5,5,3,2,2,2,2,2,2,4,2,3,2,4,5,2,6,33,36,52,37,0,31,23,13,7,23,8,4,3,3,3,3,2,3
15,4,6,2,2,1,2,2,1,1,1,1,1,3,5,5,3,5,"3,4,6",3,3,2,4,5,5,4,6,3,4,1,4,1,4,3,3,2,2,2,1,1,3,2,5,2,5,3,3,2,4,3,94,80,86,52,88,88,91,85,95,81,87,85,4,4,4,4,5,4,4
18,4,5,2,1,1,2,4,1,1,1,1,1,4,3,4,3,5,"2,3,4,6,7,11",4,4,5,4,3,3,3,1,2,5,2,5,2,4,1,1,1,3,2,4,3,4,4,5,3,4,3,4,3,5,4,100,55,100,84,37,33,50,40,16,16,70,0,3,4,4,3,1,3,1
12,2,5,2,1,1,2,5,4,4,4,3,2,3,3,4,3,4,"4,6,9",5,4,3,4,2,5,5,6,4,2,4,1,4,2,3,3,3,5,4,3,5,5,5,5,4,4,3,4,5,3,5,86,92,92,100,93,82,97,88,90,100,83,79,4,3,4,3,4,4,4
15,4,5,2,2,1,2,4,3,4,3,2,2,3,3,4,3,4,"3,4,6,9",4,4,4,4,4,4,4,5,4,3,4,3,4,2,2,2,2,3,3,2,3,5,4,4,3,4,4,3,4,4,4,82,86,81,85,85,83,86,85,78,77,85,78,3,3,3,3,3,3,3
1,2,5,2,1,1,2,3,3,2,2,1,1,2,3,5,3,3,"4,6",3,2,1,1,1,4,6,4,4,2,4,2,3,2,3,4,4,2,1,4,2,4,2,4,4,2,4,3,5,4,4,75,65,75,75,75,65,75,75,75,75,60,60,3,3,3,4,3,3,3
11,1,"2,4",2,2,1,1,2,1,1,1,1,1,3,3,5,5,5,"2,3,4,6",4,1,2,3,2,4,2,5,4,4,3,2,5,2,1,1,1,3,2,4,1,4,4,4,3,3,2,1,4,5,4,58,88,56,75,69,72,56,76,76,62,72,23,4,3,3,3,2,2,3
15,4,5,2,1,1,2,3,1,1,3,1,1,2,4,5,2,5,"3,4,6,11",3,1,1,4,4,4,6,5,2,5,2,4,2,5,5,6,6,4,1,5,4,4,4,4,3,2,2,1,2,5,3,100,89,,98,78,100,56,89,63,85,68,46,4,3,3,1,1,4,4
15,4,5,2,1,1,2,2,2,4,2,3,1,3,3,5,3,4,,4,4,2,4,4,1,2,2,4,4,3,2,1,2,3,3,3,3,3,2,2,2,4,5,3,2,2,4,4,2,3,43,49,41,25,65,58,65,70,71,47,82,24,3,3,2,3,2,5,5
15,3,"5,6",2,1,1,2,5,3,4,4,3,2,3,3,4,2,4,4,4,3,2,4,2,4,2,4,3,2,3,4,2,4,4,3,2,4,4,3,3,2,4,4,3,3,4,4,4,3,4,79,80,66,100,90,65,83,60,89,73,75,44,3,4,3,4,3,3,3
12,2,5,2,2,1,2,2,2,2,3,1,2,3,3,4,3,5,"3,4",4,1,2,4,2,4,3,4,4,2,2,2,2,1,4,4,2,4,2,4,2,3,4,4,4,4,5,1,4,5,4,81,73,63,85,70,62,69,77,75,37,54,71,4,4,4,4,2,3,4
12,2,,2,1,1,2,5,1,2,4,3,1,2,3,5,3,4,7,4,2,1,1,1,1,5,6,3,3,3,3,3,3,3,3,5,5,3,3,5,5,5,5,3,5,4,2,4,3,3,100,100,100,100,100,100,100,100,100,90,100,100,4,3,3,3,3,3,3
6,2,5,2,1,1,2,4,1,1,1,3,1,4,4,4,3,4,"3,6,11",1,1,1,3,3,1,5,5,3,3,3,2,3,3,2,2,2,4,3,2,4,4,4,4,3,2,2,1,4,4,2,75,52,71,52,58,71,74,64,72,74,76,69,4,4,4,3,2,3,3
4,3,2,2,2,2,2,4,2,3,3,3,4,4,2,5,3,4,"4,10,11",4,2,4,4,4,4,4,5,4,1,4,2,3,2,2,2,2,4,3,2,4,4,4,4,4,4,4,3,3,3,4,83,64,83,83,84,85,85,61,84,86,84,25,4,4,4,3,3,3,3
1,2,2,2,2,2,2,1,3,3,2,2,3,3,5,4,4,5,"3,4,6",3,4,3,4,4,3,3,3,3,3,2,4,4,4,2,2,2,2,3,2,3,3,5,3,4,3,3,3,4,3,4,74,70,76,71,52,77,71,81,79,78,72,75,4,4,4,3,3,3,3
5,3,5,2,2,1,2,4,3,5,3,2,3,3,5,5,3,5,"3,4,7,11",4,1,3,4,2,4,3,5,4,5,1,5,2,2,5,5,5,4,3,2,4,4,4,4,3,4,2,3,4,4,4,100,100,100,100,80,100,60,75,100,100,90,100,4,3,3,3,2,3,4
15,3,5,2,2,1,2,2,2,2,2,2,2,3,4,5,3,5,"3,4,6,7,8,9,10",4,4,2,4,2,4,1,4,2,4,2,4,2,3,2,2,2,3,2,2,1,3,3,4,3,4,3,4,4,4,4,70,85,50,85,60,70,90,80,50,45,30,50,4,4,4,3,3,3,3
1,5,5,1,1,2,2,2,4,4,4,3,3,3,3,3,3,3,,5,3,5,5,5,5,5,4,5,1,5,1,4,1,5,5,5,4,3,1,2,3,4,4,3,3,2,4,4,1,4,100,84,74,100,79,54,63,75,75,60,62,50,3,4,4,4,3,4,4
"1,6,8",1,2,2,1,2,2,3,4,3,3,2,3,4,3,4,3,4,2,3,3,4,3,3,3,2,2,4,3,4,3,3,3,4,4,4,3,2,3,3,2,4,3,3,4,3,4,4,4,4,60,15,62,14,50,100,52,50,47,75,100,0,3,3,3,3,3,3,3
16,4,5,2,2,1,1,3,1,3,2,2,1,3,4,5,3,4,"1,3,4,6,10,11",4,2,4,4,4,3,5,4,2,3,3,2,3,4,2,2,2,3,3,2,3,2,4,4,4,5,5,3,4,3,4,75,70,60,77,72,69,75,80,60,53,77,51,4,3,3,3,3,3,3
18,3,5,2,2,1,2,2,2,4,2,1,1,2,4,4,3,5,"3,4,6,8",4,2,2,4,2,2,3,4,3,4,2,4,3,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,3,80,77,74,82,65,75,70,77,66,79,59,50,4,4,4,3,3,3,3
1,3,5,1,1,1,2,5,4,4,4,3,3,4,2,3,3,3,"1,7,8",5,4,3,4,1,5,3,5,3,4,2,3,2,3,2,1,1,4,4,2,3,4,4,4,3,3,3,4,4,2,5,80,81,76,80,75,61,72,72,81,78,62,77,4,3,3,3,3,4,4
5,3,5,2,2,2,2,3,4,4,5,3,2,4,3,4,3,4,"1,4,9",5,3,3,5,5,4,3,4,2,4,2,4,2,3,1,1,1,4,4,1,4,4,4,5,3,3,1,3,3,4,2,84,82,69,81,83,99,100,85,61,78,100,39,4,4,4,3,2,4,4
12,2,5,2,1,1,2,2,3,4,4,3,3,3,3,4,2,2,8,4,4,2,2,2,2,4,4,4,4,3,2,4,2,2,2,2,4,3,4,4,5,5,4,3,3,3,4,4,4,5,78,78,77,78,85,79,79,84,78,77,80,81,3,3,3,3,3,2,2
